ID	Family	Genus	Species	Part	matched_name	taxon.synonyms	NCBITaxonomy	ott_id	query_otol_kingdom	query_otol_phylum	query_otol_class	query_otol_order	query_otol_family	query_otol_genus	query_otol_species
Albizia adinocephala|AE	fabaceae/mim.	Albizia	albizia adinocephala	AE	Albizia adinocephala	"['Pithecellobium adinocephalum', 'Pithecellobium discolor']"	199153|Albizia adinocephala	78710	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Albizia	Albizia adinocephala
Lachemilla pectinata|WP	rosaceae	Lachemilla	lachemilla pectinata	WP	Lachemilla pectinata	"['Alchemilla pectinata mexicana', 'Lachemilla pectinata']"	478367|Alchemilla pectinata	337167	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla	Alchemilla pectinata
Alchornea costaricensis|AE	euphorbiaceae	Alchornea	alchornea costaricensis	AE	Alchornea costaricensis	['Alchornea costaricensis longispicata']	1123430|Alchornea costaricensis	592843	Archaeplastida	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Alchornea	Alchornea costaricensis
Alibertia edulis|AE	rubiaceae	Alibertia	alibertia edulis	AE	Alibertia edulis	"['Amaioua edulis', 'Amaioua utilis', 'Cordiera edulis', 'Garapatica edulis', 'Gardenia edulis', 'Genipa edulis', 'Sabicea edulis']"	58508|Alibertia edulis	952905	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Alibertia	Alibertia edulis
Alseis costaricensis|L	rubiaceae	Alseis	alseis costaricensis	L	Alseis costaricensis	[]		3877637	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Alseis	Alseis costaricensis
Amphitecna latifolia|L	bignoniaceae	Amphitecna	amphitecna latifolia	L	Amphitecna latifolia	"['Amphitecna obovata', 'Crescentia coriacea', 'Crescentia cucurbitifera', 'Crescentia cucurbitina', 'Crescentia cucurbitina heterophylla', 'Crescentia cuspidata', 'Crescentia elongata', 'Crescentia latifolia', 'Crescentia lethifera', 'Crescentia obovata', 'Crescentia ovata', 'Crescentia palustris', 'Crescentia toxicaria', 'Dendrosicus latifolius', 'Dendrosicus saxatilis', 'Enallagma cucurbitina', 'Enallagma latifolia', 'Enallagma obovata']"	429681|Amphitecna latifolia	167685	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Bignoniaceae	Amphitecna	Amphitecna latifolia
Anthurium clavigerum|WP	araceae	Anthurium	anthurium clavigerum	WP	Anthurium clavigerum	"['Anthurium burchellianum', 'Anthurium clavigerum subpedatipartitum', 'Anthurium holtonianum', 'Anthurium holtonianum cohaerens', 'Anthurium kalbreyeri', 'Anthurium monsterioides', 'Anthurium monsteroides', 'Anthurium obovatum', 'Anthurium panduratum', 'Anthurium panduratum burchellianum', 'Anthurium repandum', 'Anthurium wendlandii']"	871991|Anthurium clavigerum	3999978	Archaeplastida	Streptophyta	Magnoliopsida	Alismatales	Araceae	Anthurium	Anthurium clavigerum
Anthurium spectabile|WP	araceae	Anthurium	anthuriumctabile	WP	Anthurium nobile	"['Anthurium glaziovii', 'Anthurium nobile', 'Pothos solitarius']"		3999601	Archaeplastida	Streptophyta	Magnoliopsida	Alismatales	Araceae	Anthurium	Anthurium solitarium
Apeiba tibourbou|AE	tiliaceae	Apeiba	apeiba tibourbou	AE	Apeiba tibourbou	"['Apeiba cimbalaria', 'Apeiba hirsuta', 'Apeiba tibourbou rugosa', 'Apeiba tibourbou tibourbou', 'Aubletia tiburbu']"	82398|Apeiba tibourbou	1010139	Archaeplastida	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Apeiba	Apeiba tibourbou
Archibaccharis schiedeana|WP	asteraceae	Archibaccharis	archibaccharis schiedeana	WP	Archibaccharis schiedeana	"['Archibaccharis torquis', 'Baccharis elegans', 'Baccharis elegans elegans', 'Baccharis elegans seemannii', 'Baccharis scandens', 'Baccharis schiedeana', 'Baccharis thomasii', 'Hemibaccharis torquis', 'Neomolina elegans']"	381975|Archibaccharis schiedeana	303436	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Archibaccharis	Archibaccharis schiedeana
Ardisia opegrapha|WP	myrsinaceae	Ardisia	ardisia opegrapha	WP	Ardisia opegrapha	[]	1073917|Ardisia opegrapha	388977	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Primulaceae	Ardisia	Ardisia opegrapha
Aristolochia leuconeura|WP	aristolochiaceae	Aristolochia	aristolochia leuconeura	WP	Aristolochia leuconeura	"['Aristolochia argyroneura', 'Aristolochia schippii', 'Aristolochia veraguensis', 'Howardia veraguensis']"	387571|Aristolochia leuconeura	1000009	Archaeplastida	Streptophyta	Magnoliopsida	Piperales	Aristolochiaceae	Aristolochia	Aristolochia leuconeura
Arthraxon hispidus|WP	poaceae	Arthraxon	arthraxon hispidus	WP	Arthraxon hispidus	"['Alectoridia quartiniana', 'Andropogon alectoridia', 'Andropogon amplexifolius', 'Andropogon ciliaris', 'Andropogon lasiocoleus', 'Andropogon micans', 'Andropogon plumbeus', 'Andropogon violaceus', 'Arthraxon caucasicus', 'Arthraxon centrasiaticus', 'Arthraxon ciliare coloratus', 'Arthraxon ciliare cryptatherus', 'Arthraxon ciliare gracilis', 'Arthraxon ciliare langsdorffii', 'Arthraxon ciliare nudus', 'Arthraxon ciliare quartinianus', 'Arthraxon ciliare submuticus', 'Arthraxon ciliare vriesii', 'Arthraxon ciliaris', 'Arthraxon ciliaris australis', 'Arthraxon ciliaris centrasiaticus', 'Arthraxon ciliaris coloratus', 'Arthraxon ciliaris cryptatherus', 'Arthraxon ciliaris genuinus', 'Arthraxon ciliaris glabrescens', 'Arthraxon ciliaris gracilis', 'Arthraxon ciliaris hookeri', 'Arthraxon ciliaris langsdorffii', 'Arthraxon ciliaris quartinianus', 'Arthraxon ciliaris quintinianus', 'Arthraxon ciliaris submuticus', 'Arthraxon ciliaris tenellus', 'Arthraxon ciliaris vriesii', 'Arthraxon coloratus', 'Arthraxon cryptatherus', 'Arthraxon cryptatherus centrasiaticus', 'Arthraxon cryptatherus ciliaris', 'Arthraxon cryptatherus submuticus', 'Arthraxon cuspidatus micans', 'Arthraxon glabrescens', 'Arthraxon gracilis', 'Arthraxon hispidus brevisetus', 'Arthraxon hispidus caucasicus', 'Arthraxon hispidus centrasiaticus', 'Arthraxon hispidus ciliaris', 'Arthraxon hispidus cryptatherus', 'Arthraxon hispidus formosanus', 'Arthraxon hispidus hispidissimus', 'Arthraxon hispidus hookeri', 'Arthraxon hispidus japonicus', 'Arthraxon hispidus kobuna', 'Arthraxon hispidus langsdorffii', 'Arthraxon hispidus macranthus', 'Arthraxon hispidus microphyllus', 'Arthraxon hispidus monticola', 'Arthraxon hispidus muticus', 'Arthraxon hispidus quartinianus', 'Arthraxon hispidus riukiuensis', 'Arthraxon hispidus vriesii', 'Arthraxon hookeri', 'Arthraxon japonicus', 'Arthraxon kobuna', 'Arthraxon kobuna hispidissimus', 'Arthraxon langsdorffii', 'Arthraxon langsdorffii centrasiaticus', 'Arthraxon langsdorffii cryptatherus', 'Arthraxon langsdorffii submuticus', 'Arthraxon lasiocoleos', 'Arthraxon lasiocoleus', 'Arthraxon major', 'Arthraxon mauritianus', 'Arthraxon micans', 'Arthraxon okamotoi', 'Arthraxon pallidus', 'Arthraxon pauciflorus', 'Arthraxon pauciflorus muticus', 'Arthraxon plumbeus', 'Arthraxon quartinianus', 'Arthraxon quartinianus caespitosus', 'Arthraxon quartinianus glabrescens', 'Arthraxon quartinianus monostachyus', 'Arthraxon quartinianus montanus', 'Arthraxon quartinianus tenellus', 'Arthraxon quartinianus vriesii', 'Arthraxon violaceus', 'Batratherum micans', 'Batratherum plumbeum', 'Chilochloa hispida', 'Digitaria hispida', 'Dimeria scrobiculata', 'Lasiolytrum hispidum', 'Leersia hispida', 'Lucaea gracilis', 'Lucaea major', 'Lucaea plumbea', 'Lucaea violacea', 'Lucaea vriesii', 'Phalaris hispida', 'Pleuroplitis caucasica', 'Pleuroplitis centrasiatica', 'Pleuroplitis langsdorffii', 'Pleuroplitis langsdorffii breviseta', 'Pleuroplitis langsdorffii caucasica', 'Pleuroplitis langsdorffii centrasiatica', 'Pleuroplitis langsdorffii chinensis', 'Pleuroplitis langsdorffii gracilis', 'Pleuroplitis langsdorffii japonica', 'Pleuroplitis langsdorffii submutica', 'Pleuroplitis major', 'Pleuroplitis plumbea', 'Pleuroplitis quartiniana', 'Pleuroplitis quartiniana caespitosa', 'Pleuroplitis quartiniana plumbea', 'Pleuroplitis quartiniana tenella', 'Pleuroplitis violacea', 'Pollinia ciliaris', 'Psilopogon schimperi', 'Sorghum ciliare', 'Spodiopogon ciliaris']"	330157|Arthraxon hispidus	662170	Archaeplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Arthraxon	Arthraxon hispidus
Arundinella deppeana|WP	poaceae	Arundinella	arundinella deppeana	WP	Arundinella deppeana	"['Arundinella auletica', 'Arundinella latifolia', 'Arundinella phragmitoides', 'Arundinella robusta']"	435776|Arundinella deppeana	670087	Archaeplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Arundinella	Arundinella deppeana
Aspidosperma myristicifolium|L	apocynaceae	Aspidosperma	aspidosperma myristicifolium	L	Aspidosperma myristicifolium	"['Aspidosperma elatum', 'Geissospermum myristicifolium']"	141534|Aspidosperma myristicifolium	619037	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Aspidosperma	Aspidosperma myristicifolium
Avicennia bicolor|L	verbenaceae	Avicennia	avicennia bicolor	L	Avicennia bicolor	['Avicennia tonduzii']	139223|Avicennia bicolor	61451	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Avicennia	Avicennia bicolor
Avicennia germinans|L	verbenaceae	Avicennia	avicennia germinans	L	Avicennia germinans	"['Avicennia africana', 'Avicennia elliptica', 'Avicennia floridana', 'Avicennia germinans aberrans', 'Avicennia germinans brasiliensis', 'Avicennia germinans cumanensis', 'Avicennia germinans guayaquilensis', 'Avicennia germinans venezuelensis', 'Avicennia lamarckiana', 'Avicennia meyeri', 'Avicennia nitida', 'Avicennia nitida trinitensis', 'Avicennia oblongifolia', 'Avicennia officinalis lanceolata', 'Avicennia officinalis nitida', 'Avicennia tomentosa', 'Avicennia tomentosa campechensis', 'Avicennia tomentosa cumanensis', 'Avicennia tomentosa guayaquilensis', 'Bontia germinans', 'Hilairanthus nitidus', 'Hilairanthus tomentosus', 'non Avicennia germinans (L.) Stearn, nom. illeg.']"	41378|Avicennia germinans	582599	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Avicennia	Avicennia germinans
Bactris glandulosa|L	arecaceae	Bactris	bactris glandulosa	L	Bactris glandulosa	"['Bactris angustifolia', 'Bactris bifida humaitensis', 'Bactris bifida puruensis', 'Bactris glandulosa', 'Bactris oerstediana', 'Pyrenoglyphis bifida']"	341981|Bactris bifida	1089800	Archaeplastida	Streptophyta	Magnoliopsida	Arecales	Arecaceae	Bactris	Bactris bifida
Batocarpus costaricensis|L	moraceae	Batocarpus	batocarpus costaricensis	L	Batocarpus costaricensis	[]	241865|Batocarpus costaricensis	696248	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Moraceae	Batocarpus	Batocarpus costaricensis
Begonia involucrata|WP	begoniaceae	Begonia	begonia involucrata	WP	Begonia involucrata	"['Begonia broussonetiifolia', 'Begonia involucrata purpurascens', 'Begonia laciniosa', 'Begonia metachroa', 'Gireoudia involucrata', 'Gireoudia laciniata']"	200013|Begonia involucrata	1014914	Archaeplastida	Streptophyta	Magnoliopsida	Cucurbitales	Begoniaceae	Begonia	Begonia involucrata
Loreya mespiloides|AE	melastomataceae	Loreya	loreya mespiloides	AE	Loreya mespiloides	"['Henriettea brunnescens', 'Henriettea sagotiana', 'Loreya brunnescens', 'Loreya mespiloides']"	454296|Bellucia mespiloides	618401	Archaeplastida	Streptophyta	Magnoliopsida	Myrtales	Melastomataceae	Bellucia	Bellucia mespiloides
Bellucia pentamera|AE	melastomataceae	Bellucia	bellucia pentamera	AE	Bellucia pentamera	"['Axinanthera bellucia', 'Axinanthera macrophylla', 'Bellucia aricuaizensium', 'Bellucia axinanthera', 'Bellucia costaricensis', 'Bellucia weberbaueri']"	119876|Bellucia pentamera	25579	Archaeplastida	Streptophyta	Magnoliopsida	Myrtales	Melastomataceae	Bellucia	Bellucia pentamera
Gonzalagunia bracteosa|AE	rubiaceae	Gonzalagunia	gonzalagunia bracteosa	AE	Gonzalagunia bracteosa	"['Bertiera oligosperma', 'Duggena bracteosa', 'Gonzalagunia bracteosa', 'Gonzalea bracteosa']"	1125919|Bertiera bracteosa	273103	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Bertiera	Bertiera bracteosa
Besleria columneoides|WP	gesneriaceae	Besleria	besleria columneoides	WP	Besleria columneoides	[]	1123543|Besleria columneoides	1047833	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Gesneriaceae	Besleria	Besleria columneoides
Billia rosea|L	hippocastanaceae	Billia	billia rosea	L	Billia rosea	"['Aesculus mexicana', 'Billia columbiana', 'Billia hippocastanum', 'Pawia mexicana', 'Putzeysia rosea']"	1807071|Billia rosea	6124696	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Billia	Billia rosea
Bixa urucurana|L	bixaceae	Bixa	bixa urucurana	L	Bixa urucurana	"['Bixa orellana urucurana', 'Bixa sphaerocarpa', 'Bixa upatensis', 'Orellana americana urucurana']"	1123547|Bixa urucurana	1047908	Archaeplastida	Streptophyta	Magnoliopsida	Malvales	Bixaceae	Bixa	Bixa urucurana
Bravaisia integerrima|L	acanthaceae	Bravaisia	bravaisia integerrima	L	Bravaisia integerrima	"['Amasonia integerrima', 'Androcentrum multiflorum', 'Barleria anomala', 'Bravaisia floribunda', 'Onychacanthus arboreus', 'Onychacanthus cumingii', 'Onychacanthus speciosus', 'Ruellia arborescens']"	440885|Bravaisia integerrima	654225	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Bravaisia	Bravaisia integerrima
Brosimum alicastrum|AE	moraceae	Brosimum	brosimum alicastrum	AE	Brosimum alicastrum	['Brosimum uleanum']	194253|Brosimum alicastrum	923984	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Moraceae	Brosimum	Brosimum alicastrum
Brosimum costaricanum|AE	moraceae	Brosimum	brosimum costaricanum	AE	Brosimum costaricanum	"['Alicastrum costaricanum', 'Brosimum sapiifolium', 'Helicostylis montana']"		6107982	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Moraceae	Brosimum	Brosimum costaricanum
Bunchosia cornifolia|L	malpighiaceae	Bunchosia	bunchosia cornifolia	L	Bunchosia cornifolia	"['Bunchosia cornifolia', 'Bunchosia glauca', 'Malpighia nitida', 'Malpighia spicata']"	544659|Bunchosia nitida	520302	Archaeplastida	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Bunchosia	Bunchosia nitida
Caesalpinia pulcherrima|AE	fabaceae/caes.	Caesalpinia	caesalpinia pulcherrima	AE	Caesalpinia pulcherrima	"['Caesalpinia pulcherrima flava', 'Poinciana bijuga', 'Poinciana elata', 'Poinciana pucherrima', 'Poinciana pulcherrima']"	53846|Caesalpinia pulcherrima	434080	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Caesalpinia	Caesalpinia pulcherrima
Calatola costaricensis|AE	icacinaceae	Calatola	calatola costaricensis	AE	Calatola costaricensis	"['Calatola columbiana', 'Calatola pastazana', 'Calatola sanquininensis', 'Calatola venezuelana']"	1136814|Calatola costaricensis	233232	Archaeplastida	Streptophyta	Magnoliopsida	Metteniusales	Metteniusaceae	Calatola	Calatola costaricensis
Calceolaria irazuensis|WP	scrophulariaceae	Calceolaria	calceolaria irazuensis	WP	Calceolaria irazuensis	['Calceolaria costaricensis']		6071950	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Calceolariaceae	Calceolaria	Calceolaria irazuensis
Calea urticifolia|WP	asteraceae	Calea	calea urticifolia	WP	Calea urticifolia	"['Calea axillaris urticifolia', 'Calea brachiata', 'Calea cacosmoides', 'Calea pellucidinerva', 'Caleacte urticifolia', 'Galinsoga brachiata', 'Galinsoga serrata', 'Inula serrata', 'Mocinna brachiata', 'Mocinna serrata', 'Solidago urticifolia']"		7606989	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Calea	Calea urticifolia
